2004-01-04 - 2004-01-10,40
2004-01-11 - 2004-01-17,48
2004-01-18 - 2004-01-24,56
2004-01-25 - 2004-01-31,63
2004-02-01 - 2004-02-07,30
2004-02-08 - 2004-02-14,30
2004-02-15 - 2004-02-21,30
2004-02-22 - 2004-02-28,30
2004-02-29 - 2004-03-06,76
2004-03-07 - 2004-03-13,74
2004-03-14 - 2004-03-20,29
2004-03-21 - 2004-03-27,37
2004-03-28 - 2004-04-03,44
2004-04-04 - 2004-04-10,42
2004-04-11 - 2004-04-17,42
2004-04-18 - 2004-04-24,42
2004-04-25 - 2004-05-01,29
2004-05-02 - 2004-05-08,29
2004-05-09 - 2004-05-15,56
2004-05-16 - 2004-05-22,28
2004-05-23 - 2004-05-29,28
2004-05-30 - 2004-06-05,42
2004-06-06 - 2004-06-12,56
2004-06-13 - 2004-06-19,0
2004-06-20 - 2004-06-26,0
2004-06-27 - 2004-07-03,0
2004-07-04 - 2004-07-10,0
2004-07-11 - 2004-07-17,0
2004-07-18 - 2004-07-24,0
2004-07-25 - 2004-07-31,0
2004-08-01 - 2004-08-07,29
2004-08-08 - 2004-08-14,26
2004-08-15 - 2004-08-21,26
2004-08-22 - 2004-08-28,26
2004-08-29 - 2004-09-04,26
2004-09-05 - 2004-09-11,24
2004-09-12 - 2004-09-18,24
2004-09-19 - 2004-09-25,0
2004-09-26 - 2004-10-02,0
2004-10-03 - 2004-10-09,0
2004-10-10 - 2004-10-16,0
2004-10-17 - 2004-10-23,0
2004-10-24 - 2004-10-30,0
2004-10-31 - 2004-11-06,0
2004-11-07 - 2004-11-13,0
2004-11-14 - 2004-11-20,0
2004-11-21 - 2004-11-27,0
2004-11-28 - 2004-12-04,0
2004-12-05 - 2004-12-11,0
2004-12-12 - 2004-12-18,0
2004-12-19 - 2004-12-25,0
2004-12-26 - 2005-01-01,0
2005-01-02 - 2005-01-08,22
2005-01-09 - 2005-01-15,21
2005-01-16 - 2005-01-22,21
2005-01-23 - 2005-01-29,20
2005-01-30 - 2005-02-05,20
2005-02-06 - 2005-02-12,20
2005-02-13 - 2005-02-19,20
2005-02-20 - 2005-02-26,21
2005-02-27 - 2005-03-05,19
2005-03-06 - 2005-03-12,19
2005-03-13 - 2005-03-19,38
2005-03-20 - 2005-03-26,0
2005-03-27 - 2005-04-02,0
2005-04-03 - 2005-04-09,0
2005-04-10 - 2005-04-16,0
2005-04-17 - 2005-04-23,0
2005-04-24 - 2005-04-30,19
2005-05-01 - 2005-05-07,19
2005-05-08 - 2005-05-14,18
2005-05-15 - 2005-05-21,18
2005-05-22 - 2005-05-28,18
2005-05-29 - 2005-06-04,19
2005-06-05 - 2005-06-11,18
2005-06-12 - 2005-06-18,18
2005-06-19 - 2005-06-25,19
2005-06-26 - 2005-07-02,19
2005-07-03 - 2005-07-09,19
2005-07-10 - 2005-07-16,19
2005-07-17 - 2005-07-23,19
2005-07-24 - 2005-07-30,28
2005-07-31 - 2005-08-06,18
2005-08-07 - 2005-08-13,24
2005-08-14 - 2005-08-20,18
2005-08-21 - 2005-08-27,21
2005-08-28 - 2005-09-03,16
2005-09-04 - 2005-09-10,16
2005-09-11 - 2005-09-17,16
2005-09-18 - 2005-09-24,16
2005-09-25 - 2005-10-01,16
2005-10-02 - 2005-10-08,16
2005-10-09 - 2005-10-15,0
2005-10-16 - 2005-10-22,0
2005-10-23 - 2005-10-29,0
2005-10-30 - 2005-11-05,0
2005-11-06 - 2005-11-12,0
2005-11-13 - 2005-11-19,14
2005-11-20 - 2005-11-26,14
2005-11-27 - 2005-12-03,14
2005-12-04 - 2005-12-10,14
2005-12-11 - 2005-12-17,14
2005-12-18 - 2005-12-24,16
2005-12-25 - 2005-12-31,36
2006-01-01 - 2006-01-07,15
2006-01-08 - 2006-01-14,13
2006-01-15 - 2006-01-21,12
2006-01-22 - 2006-01-28,12
2006-01-29 - 2006-02-04,12
2006-02-05 - 2006-02-11,12
2006-02-12 - 2006-02-18,12
